* Measurement data measured by REW V5.31.3
* Source: Trace Arithmetic result (A + B) / 2
* Format: Trace Arithmetic result (A + B) / 2
* Dated: Nov 9, 2024 4:21:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A,B average A = Bluelover (Stock M) L B = Bluelover (10ohm, M) S2 L
* Measurement: Bluelover (10ohm AVG, S M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
788.000000, 72.322, 60.9892
800.000000, 72.339, 62.1346
812.000000, 72.359, 63.3473
825.000000, 72.386, 64.6950
838.000000, 72.408, 66.0148
850.000000, 72.429, 67.2210
862.000000, 72.461, 68.4196
875.000000, 72.500, 69.7501
885.000000, 72.531, 70.7589
900.000000, 72.585, 72.2630
912.000000, 72.638, 73.4294
925.000000, 72.701, 74.7057
938.000000, 72.762, 75.9694
950.000000, 72.821, 77.0945
962.000000, 72.892, 78.2079
975.000000, 72.978, 79.3691
988.000000, 73.064, 80.4661
1000.000000, 73.146, 81.4727
1015.000000, 73.262, 82.6839
1030.000000, 73.380, 83.7843
1044.000000, 73.487, 84.7882
1060.000000, 73.603, 85.8416
1075.000000, 73.707, 86.7708
1090.000000, 73.808, 87.6805
1106.000000, 73.912, 88.6460
1120.000000, 74.000, 89.4912
1138.000000, 74.120, 90.5892
1150.000000, 74.205, 91.2755
1172.000000, 74.360, 92.4058
1180.000000, 74.413, 92.8031
1206.000000, 74.585, 94.0346
1220.000000, 74.679, 94.6442
1241.000000, 74.814, 95.5174
1250.000000, 74.871, 95.8877
1265.000000, 74.959, 96.4784
1280.000000, 75.040, 97.0384
1315.000000, 75.220, 98.3247
1320.000000, 75.246, 98.5020
1340.000000, 75.343, 99.1862
1360.000000, 75.433, 99.8343
1380.000000, 75.518, 100.4769
1400.000000, 75.598, 101.1247
1430.000000, 75.708, 102.1720
1450.000000, 75.785, 102.8571
1475.000000, 75.876, 103.6887
1500.000000, 75.957, 104.5599
1525.000000, 76.037, 105.4503
1550.000000, 76.116, 106.3459
1575.000000, 76.195, 107.2408
1600.000000, 76.275, 108.1474
1625.000000, 76.357, 109.1269
1650.000000, 76.450, 110.1101
1675.000000, 76.550, 111.0430
1700.000000, 76.649, 111.9485
1725.000000, 76.747, 112.8381
1750.000000, 76.853, 113.7293
1775.000000, 76.964, 114.5809
1800.000000, 77.077, 115.4037
1825.000000, 77.191, 116.2139
1850.000000, 77.307, 116.9781
1875.000000, 77.427, 117.7179
1900.000000, 77.553, 118.4267
1925.000000, 77.681, 119.0908
1950.000000, 77.808, 119.7187
1975.000000, 77.937, 120.3045
2000.000000, 78.070, 120.8448
2030.000000, 78.235, 121.4322
2060.000000, 78.397, 121.9457
2090.000000, 78.558, 122.3803
2120.000000, 78.723, 122.7293
2140.000000, 78.832, 122.9187
2180.000000, 79.048, 123.2021
2200.000000, 79.156, 123.2795
2240.000000, 79.368, 123.2957
2270.000000, 79.518, 123.1937
2300.000000, 79.659, 123.0146
2330.000000, 79.792, 122.7546
2360.000000, 79.914, 122.4033
2400.000000, 80.061, 121.7868
2430.000000, 80.158, 121.2269
2470.000000, 80.263, 120.3792
2500.000000, 80.321, 119.6841
2540.000000, 80.365, 118.6800
2580.000000, 80.370, 117.6025
2620.000000, 80.337, 116.5115
2650.000000, 80.284, 115.7361
2690.000000, 80.178, 114.7750
2720.000000, 80.076, 114.1437
2760.000000, 79.911, 113.4871
2800.000000, 79.721, 113.0464
2850.000000, 79.471, 112.8433
2900.000000, 79.225, 112.9872
2950.000000, 79.000, 113.3220
3000.000000, 78.789, 113.7350
3040.000000, 78.628, 114.0845
3070.000000, 78.507, 114.3704
3110.000000, 78.345, 114.8165
3150.000000, 78.178, 115.3483
3200.000000, 77.969, 116.1276
3250.000000, 77.769, 117.0525
3300.000000, 77.588, 118.1005
3350.000000, 77.431, 119.1815
3400.000000, 77.299, 120.2279
3450.000000, 77.173, 121.1762
3500.000000, 77.034, 122.0464
3550.000000, 76.879, 122.8960
3600.000000, 76.712, 123.8006
3650.000000, 76.540, 124.8297
3700.000000, 76.369, 125.9593
3750.000000, 76.204, 127.1827
3820.000000, 75.987, 129.0649
3870.000000, 75.845, 130.5355
3950.000000, 75.644, 132.9668
4000.000000, 75.537, 134.5330
4060.000000, 75.424, 136.4319
4120.000000, 75.325, 138.3105
4180.000000, 75.243, 140.2066
4250.000000, 75.168, 142.4050
4310.000000, 75.116, 144.2537
4370.000000, 75.079, 146.0820
4440.000000, 75.051, 148.1746
4500.000000, 75.035, 149.9503
4550.000000, 75.024, 151.4356
4620.000000, 75.020, 153.5471
4680.000000, 75.034, 155.4143
4750.000000, 75.084, 157.6626
4820.000000, 75.181, 159.8910
4870.000000, 75.285, 161.4097
4940.000000, 75.475, 163.2864
5000.000000, 75.673, 164.5698
5080.000000, 75.959, 165.7685
5150.000000, 76.205, 166.3339
5220.000000, 76.429, 166.4916
5300.000000, 76.649, 166.2880
5380.000000, 76.824, 165.7996
5450.000000, 76.944, 165.2019
5520.000000, 77.041, 164.4836
5600.000000, 77.139, 163.5490
5700.000000, 77.266, 161.9468
5800.000000, 77.384, 159.2199
5900.000000, 77.337, 154.8884
6000.000000, 76.891, 149.7401
6080.000000, 76.205, 146.4282
6150.000000, 75.451, 144.8641
6220.000000, 74.652, 144.6258
6300.000000, 73.783, 145.7112
6400.000000, 72.830, 148.3998
6500.000000, 72.030, 151.8867
6600.000000, 71.356, 155.7909
6700.000000, 70.790, 159.9666
6800.000000, 70.318, 164.3394
6900.000000, 69.925, 168.7205
7000.000000, 69.594, 173.0169
7100.000000, 69.320, 177.3271
7200.000000, 69.105, -178.3179
7300.000000, 68.943, -173.9535
7400.000000, 68.809, -169.5322
7500.000000, 68.728, -165.0390
7620.000000, 68.706, -159.7667
7750.000000, 68.781, -154.2024
7880.000000, 68.947, -148.7786
8000.000000, 69.167, -143.9426
8120.000000, 69.465, -139.3019
8250.000000, 69.864, -134.4761
8380.000000, 70.350, -129.5599
