* Measurement data measured by REW V5.31.3
* Source: Trace Arithmetic result (A + B) / 2
* Format: Trace Arithmetic result (A + B) / 2
* Dated: Nov 9, 2024 4:21:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A,B average A = Bluelover (Stock M) L B = Bluelover (10ohm, M) S2 L 
* Measurement: Bluelover (10ohm AVG, S M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1150.000000, 75.548, 91.2755
1172.000000, 75.703, 92.4058
1180.000000, 75.756, 92.8031
1206.000000, 75.928, 94.0346
1220.000000, 76.022, 94.6442
1241.000000, 76.157, 95.5174
1250.000000, 76.214, 95.8877
1265.000000, 76.302, 96.4784
1280.000000, 76.383, 97.0384
1315.000000, 76.563, 98.3247
1320.000000, 76.589, 98.5020
1340.000000, 76.686, 99.1862
1360.000000, 76.776, 99.8343
1380.000000, 76.861, 100.4769
1400.000000, 76.941, 101.1247
1430.000000, 77.051, 102.1720
1450.000000, 77.128, 102.8571
1475.000000, 77.219, 103.6887
1500.000000, 77.300, 104.5599
1525.000000, 77.380, 105.4503
1550.000000, 77.459, 106.3459
1575.000000, 77.538, 107.2408
1600.000000, 77.618, 108.1474
1625.000000, 77.700, 109.1269
1650.000000, 77.793, 110.1101
1675.000000, 77.893, 111.0430
1700.000000, 77.992, 111.9485
1725.000000, 78.090, 112.8381
1750.000000, 78.196, 113.7293
1775.000000, 78.307, 114.5809
1800.000000, 78.420, 115.4037
1825.000000, 78.534, 116.2139
1850.000000, 78.650, 116.9781
1875.000000, 78.770, 117.7179
1900.000000, 78.895, 118.4267
1925.000000, 79.024, 119.0908
1950.000000, 79.151, 119.7187
1975.000000, 79.279, 120.3045
2000.000000, 79.413, 120.8448
2030.000000, 79.578, 121.4322
2060.000000, 79.740, 121.9457
2090.000000, 79.901, 122.3803
2120.000000, 80.066, 122.7293
2140.000000, 80.175, 122.9187
2180.000000, 80.391, 123.2021
2200.000000, 80.499, 123.2795
2240.000000, 80.711, 123.2957
2270.000000, 80.861, 123.1937
2300.000000, 81.002, 123.0146
2330.000000, 81.135, 122.7546
2360.000000, 81.257, 122.4033
2400.000000, 81.404, 121.7868
2430.000000, 81.501, 121.2269
2470.000000, 81.606, 120.3792
2500.000000, 81.664, 119.6841
2540.000000, 81.708, 118.6800
2580.000000, 81.713, 117.6025
2620.000000, 81.680, 116.5115
2650.000000, 81.627, 115.7361
2690.000000, 81.521, 114.7750
2720.000000, 81.419, 114.1437
2760.000000, 81.254, 113.4871
2800.000000, 81.064, 113.0464
2850.000000, 80.814, 112.8433
2900.000000, 80.568, 112.9872
2950.000000, 80.343, 113.3220
3000.000000, 80.132, 113.7350
3040.000000, 79.971, 114.0845
3070.000000, 79.850, 114.3704
3110.000000, 79.688, 114.8165
3150.000000, 79.521, 115.3483
3200.000000, 79.312, 116.1276
3250.000000, 79.112, 117.0525
3300.000000, 78.931, 118.1005
3350.000000, 78.774, 119.1815
3400.000000, 78.642, 120.2279
3450.000000, 78.516, 121.1762
3500.000000, 78.377, 122.0464
3550.000000, 78.222, 122.8960
3600.000000, 78.055, 123.8006
3650.000000, 77.883, 124.8297
3700.000000, 77.712, 125.9593
3750.000000, 77.547, 127.1827
3820.000000, 77.330, 129.0649
3870.000000, 77.188, 130.5355
3950.000000, 76.987, 132.9668
4000.000000, 76.880, 134.5330
4060.000000, 76.767, 136.4319
4120.000000, 76.668, 138.3105
4180.000000, 76.586, 140.2066
4250.000000, 76.511, 142.4050
4310.000000, 76.459, 144.2537
4370.000000, 76.422, 146.0820
4440.000000, 76.394, 148.1746
4500.000000, 76.378, 149.9503
4550.000000, 76.367, 151.4356
4620.000000, 76.363, 153.5471
4680.000000, 76.377, 155.4143
4750.000000, 76.427, 157.6626
4820.000000, 76.524, 159.8910
4870.000000, 76.628, 161.4097
4940.000000, 76.818, 163.2864
5000.000000, 77.016, 164.5698
5080.000000, 77.302, 165.7685
5150.000000, 77.548, 166.3339
5220.000000, 77.772, 166.4916
5300.000000, 77.992, 166.2880
5380.000000, 78.167, 165.7996
5450.000000, 78.287, 165.2019
5520.000000, 78.384, 164.4836
5600.000000, 78.482, 163.5490
5700.000000, 78.609, 161.9468
5800.000000, 78.727, 159.2199
5900.000000, 78.680, 154.8884
6000.000000, 78.234, 149.7401
6080.000000, 77.548, 146.4282
6150.000000, 76.794, 144.8641
6220.000000, 75.995, 144.6258
6300.000000, 75.126, 145.7112
6400.000000, 74.173, 148.3998
6500.000000, 73.373, 151.8867
6600.000000, 72.699, 155.7909
6700.000000, 72.133, 159.9666
6800.000000, 71.661, 164.3394
6900.000000, 71.268, 168.7205
7000.000000, 70.937, 173.0169
7100.000000, 70.663, 177.3271
7200.000000, 70.448, -178.3179
7300.000000, 70.286, -173.9535
7400.000000, 70.152, -169.5322
7500.000000, 70.071, -165.0390
7620.000000, 70.049, -159.7667
7750.000000, 70.124, -154.2024
7880.000000, 70.290, -148.7786
8000.000000, 70.510, -143.9426
8120.000000, 70.808, -139.3019
