* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
3368.198452	99.555930
3417.190027	99.234201
3466.894200	99.101751
3517.321337	98.645129
3568.481954	98.234916
3620.386720	97.945153
3673.046457	97.523944
3726.472148	97.390438
3780.674934	96.958118
3835.666117	96.753956
3891.457165	96.425249
3948.059713	96.060081
4005.485564	95.936614
4063.746693	95.639850
4122.855250	95.503485
4182.823560	95.383593
4243.664130	95.377237
4305.389646	95.430500
4368.012981	95.408273
4431.547192	95.312769
4496.005531	95.213152
4561.401437	95.155163
4627.748549	94.927029
4695.060701	94.874020
4763.351932	94.767544
4832.636481	94.714300
4902.928797	94.660281
4974.243539	94.605477
5046.595577	94.549876
5120.000000	94.493466
5194.472115	94.436235
5270.027452	94.290804
5346.681766	94.096333
5424.451043	94.028013
5503.351500	93.605909
5583.399591	93.355900
5664.612008	92.874087
5747.005687	92.374673
5830.597810	91.867995
5915.405808	91.353947
6001.447367	91.035750
6088.740429	90.372442
6177.303198	89.895103
6267.154142	89.410821
6358.311998	89.097035
6450.795775	88.796128
6544.624761	88.559591
6639.818520	88.584153
6736.396904	88.437188
6834.380053	88.257842
6933.788400	88.162196
7034.642675	87.813911
7136.963909	87.277027
7240.773439	86.508392
7346.092914	85.748643
7452.944296	85.309821
7561.349867	84.512001
7671.332234	83.998671
7782.914330	83.759535
7896.119426	83.545473
8010.971128	83.415989
8127.493386	83.284622
8245.710500	83.280948
8365.647121	83.334953
8487.328260	83.266712
8610.779292	83.393297
8736.025961	83.725482
8863.094385	84.545961
8992.011061	85.219484
9122.802874	86.177055
9255.497097	86.781387
9390.121402	87.406745
9526.703863	87.416254
9665.272962	87.054247
9805.857594	86.291216
9948.487077	85.576417
10093.191154	84.781224
10240.000000	83.851167
10388.944230	83.117279
10540.054903	82.653760
10693.363532	82.261517
10848.902086	81.886568
11006.703001	81.510016
11166.799182	81.129024
11329.224017	80.742491
11494.011375	80.598397
11661.195620	80.361523
11830.811616	80.067017
12002.894734	80.173015
12177.480858	80.322439
12354.606395	80.503057
12534.308283	80.024523
12716.623996	79.418224
12901.591551	78.455971
13089.249521	77.296878
13279.637040	76.329562
13472.793808	75.111854
13668.760107	74.180936
13867.576801	73.375616
14069.285350	72.880600
14273.927818	72.113926
14481.546879	71.846148
14692.185828	71.860298
14905.888592	71.989276
15122.699734	72.460359
15342.664467	73.080753
15565.828661	74.070812
15792.238852	74.558261
16021.942256	74.796839
16254.986772	75.022022
16491.420999	74.999594
16731.294241	74.539387
16974.656520	73.386405
17221.558584	72.606833
17472.051922	71.306765
17726.188769	69.559644
17984.022122	67.645235
18245.605748	65.765128
18510.994194	64.869128
18780.242805	64.597745
19053.407727	64.468504
19330.545924	64.337383
19611.715189	64.154022
19896.974155	64.154022
20186.382308	64.154022
