* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
12002.894734	108.022735
12177.480858	108.133637
12354.606395	108.244380
12534.308283	108.340265
12716.623996	108.203069
12901.591551	107.981403
13089.249521	107.759700
13279.637040	107.538116
13472.793808	107.114634
13668.760107	106.726356
13867.576801	106.473763
14069.285350	106.153215
14273.927818	105.815696
14481.546879	105.594114
14692.185828	105.315012
14905.888592	105.027986
15122.699734	104.674007
15342.664467	104.230775
15565.828661	103.787619
15792.238852	103.344387
16021.942256	103.059877
16254.986772	102.838185
16491.420999	102.505834
16731.294241	102.272129
16974.656520	102.050517
17221.558584	101.706017
17472.051922	101.469888
17726.188769	101.139832
17984.022122	100.706302
18245.605748	100.010201
18510.994194	99.246468
18780.242805	98.499531
19053.407727	97.603016
19330.545924	96.066232
19611.715189	94.760704
19896.974155	93.390663
20186.382308	93.390663
